latitude,longitude,ipString,currentTime,availableMemory,rssi,timezone,Processors,Battery,Vendor,Model,systemPerformance,cpu,accel,gyro,magnet,screenWidth,screenLength,screenDensity,hasTouchScreen,hasCamera,hasFrontCamera,hasMicrophone,hasTemperatureSensor
71.86881000000001,143.8360993,10.0.2.40,2024-11-22 11:39:20,1140599004,-26,Etc/UTC,4,95,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.496634,143.2287333,10.0.2.195,2024-11-22 16:55:07,1003272475,-21,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.413723,143.9138973,10.0.2.99,2024-11-22 03:00:01,985034828,-29,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
71.943835,143.7748133,10.0.2.23,2024-11-22 08:27:35,1085009173,-37,Etc/UTC,4,99,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.45334100000001,143.9205023,10.0.2.204,2024-11-22 18:30:34,1127551518,-34,Etc/UTC,4,99,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
71.795882,143.3121473,10.0.2.210,2024-11-22 01:57:26,1152004171,-23,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.714454,143.4093303,10.0.2.54,2024-11-22 14:34:15,1064137220,-23,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.20240700000001,143.8044363,10.0.2.231,2024-11-22 06:37:07,1075122656,-25,Etc/UTC,4,92,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
71.88609000000001,143.8421473,10.0.2.211,2024-11-22 17:25:32,1194172333,-23,Etc/UTC,4,93,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.40494500000001,143.4827893,10.0.2.129,2024-11-22 17:48:19,1224708102,-39,Etc/UTC,4,97,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
71.901154,143.7829633,10.0.2.79,2024-11-22 00:58:36,1196631582,-21,Etc/UTC,4,94,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.25903400000001,143.3488943,10.0.2.237,2024-11-22 09:49:15,1093898116,-30,Etc/UTC,4,94,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.56020500000001,143.2589403,10.0.2.148,2024-11-22 00:42:13,1242058913,-35,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.73506900000001,143.3136843,10.0.2.33,2024-11-22 15:36:22,1042255022,-33,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
71.966249,143.8602043,10.0.2.191,2024-11-22 23:48:47,1096793101,-31,Etc/UTC,4,93,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.73263700000001,143.2013163,10.0.2.167,2024-11-22 13:49:34,1169688049,-38,Etc/UTC,4,92,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
72.51137800000001,144.0856723,10.0.2.35,2024-11-22 03:51:21,1225391865,-39,Etc/UTC,4,98,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,2028,440,True,True,True,True,True
