latitude,longitude,ipString,currentTime,availableMemory,rssi,timezone,Processors,Battery,Vendor,Model,systemPerformance,cpu,accel,gyro,magnet,screenWidth,screenLength,screenDensity,hasTouchScreen,hasCamera,hasFrontCamera,hasMicrophone,hasTemperatureSensor
72.400024,144.0911543,10.0.2.153,2024-11-22 01:04:32,1017565075,-29,Etc/UTC,4,97,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.25532000000001,144.00483930000001,10.0.2.53,2024-11-22 15:40:42,1042029364,-34,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.003196,144.0925823,10.0.2.7,2024-11-22 16:13:55,1091303725,-31,Etc/UTC,4,92,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.53857500000001,143.7404553,10.0.2.8,2024-11-22 14:09:08,1015284188,-22,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.630199,143.5935553,10.0.2.67,2024-11-22 13:22:25,1030562605,-38,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.28452700000001,143.4059203,10.0.2.16,2024-11-22 11:45:32,1228163461,-25,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
71.83025300000001,144.1184773,10.0.2.234,2024-11-22 16:30:04,1212174895,-27,Etc/UTC,4,97,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.383122,143.8868343,10.0.2.146,2024-11-22 07:15:42,1123723729,-36,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.303708,143.4052083,10.0.2.180,2024-11-22 04:06:30,1082723285,-20,Etc/UTC,4,92,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
71.865193,143.9947063,10.0.2.92,2024-11-22 15:23:46,1135900027,-33,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.01217700000001,143.7245953,10.0.2.73,2024-11-22 16:28:44,1132745499,-32,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
71.99320200000001,143.49325530000002,10.0.2.135,2024-11-22 09:11:31,1043953055,-36,Etc/UTC,4,98,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.26487200000001,143.7556003,10.0.2.198,2024-11-22 07:25:48,1102251429,-24,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.583537,144.1263813,10.0.2.165,2024-11-22 14:47:24,1032632841,-27,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.01374200000001,143.8083703,10.0.2.168,2024-11-22 06:12:01,1209795547,-36,Etc/UTC,4,98,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
71.76832300000001,143.7595503,10.0.2.142,2024-11-22 12:57:04,1245824207,-21,Etc/UTC,4,100,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
72.164737,143.62249930000002,10.0.2.61,2024-11-22 15:30:54,1073312129,-39,Etc/UTC,4,93,Google,sdk_gphone_x86_64,,ranchu,1,4,2,1080,1794,420,True,True,True,True,True
