region_tz_code,region_tz_code_trust,os_code,os_code_trust,device_type_code,device_type_code_trust,manufacturer_code,manufacturer_code_trust,is_rooted,is_rooted_trust,gps_latitude,gps_latitude_trust,gps_longitude,gps_longitude_trust,location_conf_radius,location_conf_radius_trust,location_visit_count,location_visit_count_trust,shift_profile_code,shift_profile_code_trust,session_start_epoch,session_start_epoch_trust,session_duration_mins,session_duration_mins_trust,time_since_last_login_mins,time_since_last_login_mins_trust,day_type_code,day_type_code_trust,ip_address_as_int,ip_address_as_int_trust,ip_reputation_code,ip_reputation_code_trust,vpn_tor_usage,vpn_tor_usage_trust,typing_speed_cpm,typing_speed_cpm_trust,click_pattern_code,click_pattern_code_trust,role_code,role_code_trust,scope_code,scope_code_trust,failed_login_attempts,failed_login_attempts_trust,historic_risk_score,historic_risk_score_trust,system_mode_code,system_mode_code_trust
1.1,0.043,1.0,0.186,1.0,0.122,3.0,0.423,0,0.172,29.59,0.248,-117.37,0.173,15.38,0.288,403.35,0.365,2,0.548,1.7312352e+09,0.311,120.47,0.38,-159.5,0.318,0.0,0.224,1.2735825e+09,0.451,1.0,0.943,0,0.957,112.47,0.927,1,0.995,2,0.955,2.0,1.0,0.91,0.852,35.59,0.841,0.0,1.0
1.1,0.149,1.0,0.348,1.0,0.09,3.0,0.399,0,0.065,33.44,0.09,-116.85,0.132,18.12,0.213,510.16,0.472,2,0.492,1.7339777e+09,0.105,134.5,0.172,-1005.06,0.504,0.0,0.225,1.6427448e+09,0.181,1.0,1.0,-1,0.92,137.91,1.0,1,0.862,2,0.992,2.0,0.884,1.38,0.87,36.27,0.988,0.0,0.923
1.1,0.216,1.0,0.373,1.0,0.13,3.0,0.164,0,0.464,30.64,0.386,-119.74,0.237,17.65,0.382,403.68,0.332,2,0.45,1.7331639e+09,0.156,109.93,0.101,-670.61,0.059,0.0,0.122,2.1449791e+09,0.231,-0.608759343624115,0.371,-1,0.313,128.26,0.095,2,0.064,2,0.071,2.0,0.221,1.27,0.204,30.17,0.311,0.0,0.383
1.1,0.334,1.0,0.334,1.0,0.159,3.0,0.28,0,0.031,31.95,0.129,-111.83,0.185,19.76,0.4,567.14,0.073,2,0.286,1.7400274e+09,0.128,126.18,0.086,-281.48,0.15,0.0,0.53,1.8555455e+09,0.278,1.0,0.885,-1,0.853,135.13,0.757,1,0.786,2,0.901,2.0,1.0,1.16,0.836,29.14,0.93,0.0,0.835
1.1,0.389,1.0,0.466,1.0,0.153,4.0,0.335,0,0.005,33.46,0.014,-115.52,0.23,21.15,0.021,736.97,0.505,2,0.248,1.7421679e+09,0.152,111.31,0.169,-842.39,0.13,0.0,0.367,2.2261453e+09,0.298,1.0,0.961,-1,1.0,174.39,0.975,1,1.0,2,0.881,3.0,0.813,2.16,0.934,37.77,0.869,0.0,0.889
1.1,0.396,2.0,0.059,1.0,0.116,4.0,0.06,0,0.022,30.02,0.247,-112.62,0.165,22.54,0.23,400.89,0.182,3,0.456,1.7425628e+09,0.096,155.81,0.493,-556.4,0.112,0.0,0.055,2.7868022e+09,0.35,-1.1022837162017822,0.467,-1,0.051,149.03,0.472,2,0.474,2,0.28,3.0,0.292,1.46,0.141,44.3,0.199,0.0,0.21
1.1,0.39,1.0,0.474,1.0,0.021,3.0,0.008,0,0.147,31.51,0.239,-118.34,0.016,19.21,0.063,350.26,0.452,2,0.233,1.7361037e+09,0.082,110.88,0.44,110.38,0.273,0.0,0.104,1.8933292e+09,0.165,1.0,0.851,-1,0.999,111.17,0.811,1,1.0,2,1.0,2.0,0.83,0.48,0.854,31.47,0.922,0.0,0.969
1.1,0.349,-0.7174535989761353,0.497,1.0,0.388,3.0,0.012,0,0.248,31.91,0.063,-108.01,0.105,20.96,0.462,896.39,0.283,2,0.127,1.7436983e+09,0.104,117.23,0.464,390.26,0.386,0.0,0.441,1.7040745e+09,0.141,1.0,0.891,-1,0.984,160.73,0.838,2,0.958,2,0.922,3.0,0.98,1.38,0.761,36.35,1.0,0.0,0.792
1.1,0.23,1.0,0.018,1.0,0.025,3.0,0.449,0,0.032,34.29,0.15,-114.71,0.146,16.55,0.438,414.59,0.089,2,0.216,1.7340084e+09,0.074,132.39,0.052,-165.32,0.514,0.0,0.117,1.6876854e+09,0.053,1.0,0.97,-1,0.826,129.87,0.752,1,0.785,2,0.921,2.0,0.752,0.89,0.757,40.05,0.773,0.0,0.976
1.1,0.224,1.0,0.027,1.0,0.376,5.0,0.032,0,0.426,41.81,0.479,-115.03,0.114,23.69,0.331,603.15,0.064,3,0.295,1.7422278e+09,0.459,209.49,0.102,-975.57,0.217,0.0,0.188,3.0637258e+09,0.059,-0.756068229675293,0.177,-1,0.314,192.94,0.319,1,0.128,2,0.198,3.0,0.399,1.99,0.077,57.67,0.198,0.0,0.15
