-27.752911,-178.98516199999997,151.163.47.42,2024-04-30 12:40:03,512GB
47.425382,87.99368299999999,213.180.89.200,2024-03-13 08:01:31,16GB
47.667257,88.37084,213.180.237.53,2024-03-14 08:54:31,16GB
47.015707,87.70649499999999,213.180.131.3,2024-03-08 09:29:31,16GB
47.869808,88.190407,213.180.131.141,2024-03-16 07:58:31,32GB
47.772051,88.6451,213.180.214.62,2024-03-08 09:34:31,16GB
47.686288,88.21619799999999,213.180.119.99,2024-03-08 09:47:31,32GB
47.244031,87.996833,213.180.227.106,2024-03-15 08:16:31,64GB
47.369067,88.314343,213.180.163.25,2024-03-12 09:57:31,16GB
47.864667,87.964985,213.180.92.74,2024-03-17 10:13:31,16GB
47.625938,87.847663,213.180.173.44,2024-03-15 09:16:31,64GB
