-27.809589000000003,-179.010909,151.163.136.21,2024-05-01 09:55:03,256GB
47.807921,87.93870799999999,213.180.88.184,2024-03-14 09:59:31,64GB
47.090396,87.93869099999999,213.180.3.12,2024-03-15 10:11:31,32GB
47.355865,88.614109,213.180.83.239,2024-03-10 09:30:31,16GB
47.156196,88.139799,213.180.114.111,2024-03-13 10:42:31,16GB
47.456889,88.674072,213.180.153.203,2024-03-10 08:13:31,32GB
47.030701,88.189397,213.180.9.129,2024-03-11 09:54:31,16GB
47.400549,88.01686,213.180.85.170,2024-03-11 09:00:31,64GB
47.256513,88.539597,213.180.27.209,2024-03-17 08:15:31,32GB
47.570125,88.370357,213.180.85.211,2024-03-08 10:02:31,64GB
47.922802,87.830969,213.180.36.11,2024-03-11 10:49:31,32GB
